Property Name	Property Location	Price	Bedroom	Bathroom	Car Porch	Property Type	Built Up Area	Status
Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	2	2	1	Serviced Residence | Duplex 	 Built-up : 646 sq. ft.	Unfurnished
Suria Stonor, KLCC	KLCC, Kuala Lumpur	RM 4,250,000(RM 781.11 per sq. ft.)	5	6	2	Serviced Residence | Duplex 	 Built-up : 5,441 sq. ft. 	 Partly furnished
Sastra U-Thant, Taman U-Thant, Ampang Hilir	Ampang Hilir, Kuala Lumpur	RM 5,000,000(RM 1212.71 per sq. ft.)	4+2	5	4	Condominium | Penthouse 	 Built-up : 4,123 sq. ft. 	 Partly furnished
Dua Residency, KLCC	KLCC, Kuala Lumpur	RM 2,880,000(RM 822.39 per sq. ft.)	4+1	5	2	Condominium 	 Built-up : 3,502 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 950,000(RM 795.64 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,194 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,280,000(RM 832.79 per sq. ft.)	3+1	3	3	Condominium 	 Built-up : 1,537 sq. ft. 	 Partly furnished
Medan Damansara, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 1,790,000(RM 716 per sq. ft.)	3+1	3	1	2-sty Terrace/Link House | Intermediate 	 Built-up : 2,500 sq. ft. 	 Partly furnished
Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	2	2	1	Serviced Residence | Duplex 	 Built-up : 646 sq. ft.	Unfurnished
Andalucia, Pantai Hillpark, Pantai	Pantai, Kuala Lumpur	RM 900,000(RM 666.67 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,350 sq. ft.	Unfurnished
Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	2	2	1	Serviced Residence | Duplex 	 Built-up : 646 sq. ft.	Unfurnished
Taman Melawati, Ampang Greeneries Landscape, Ampang	Ampang, Kuala Lumpur	RM 979,000(RM 387.72 per sq. ft.)	4+1	4	2	2-sty Terrace/Link House | Intermediate 	 Built-up : 2,525 sq. ft. 	 Unfurnished
The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas	Dutamas, Kuala Lumpur	RM 1,383,100(RM 937.06 per sq. ft.)	4	3	3	Serviced Residence | Corner lot 	 Built-up : 1,476 sq. ft. 	 Partly furnished
Anggun Residences, KLCC	KLCC, Kuala Lumpur	RM 1,200,000(RM 953.14 per sq. ft.)	3	3	2	Condominium | Corner lot 	 Built-up : 1,259 sq. ft. 	 Partly furnished
La Grande Kiara, Bukit Kiara, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 950,000(RM 480.04 per sq. ft.)	3+1	3	2	Condominium | End lot 	 Built-up : 1,979 sq. ft. 	 Partly furnished
St Regis, KL Sentral	KL Sentral, Kuala Lumpur	RM 8,100,000(RM 1904.54 per sq. ft.)	3+1	4	2	Serviced Residence 	 Built-up : 4,253 sq. ft. 	 Partly furnished
The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas	Dutamas, Kuala Lumpur	RM 1,229,400(RM 951.55 per sq. ft.)	3	3	2	Serviced Residence 	 Built-up : 1,292 sq. ft. 	 Partly furnished
The Troika, KLCC	KLCC, Kuala Lumpur	RM 2,000,000(RM 833.33 per sq. ft.)	3+1	5	2	Condominium | Corner lot 	 Built-up : 2,400 sq. ft. 	 Partly furnished
Covillea, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 745,000(RM 576.18 per sq. ft.)	3+1	3	2	Condominium 	 Built-up : 1,293 sq. ft.	Unfurnished
V Residence 2 @ Sunway Velocity, Cheras	Cheras, Kuala Lumpur	RM 1,200,000(RM 1411.76 per sq. ft.)	2	2	1	Serviced Residence 	 Built-up : 850 sq. ft.	Unfurnished
Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	2	2	1	Serviced Residence | Duplex 	 Built-up : 646 sq. ft.	Unfurnished
Suria Stonor, KLCC	KLCC, Kuala Lumpur	RM 4,250,000(RM 781.11 per sq. ft.)	5	6	2	Serviced Residence | Duplex 	 Built-up : 5,441 sq. ft. 	 Partly furnished
Sastra U-Thant, Taman U-Thant, Ampang Hilir	Ampang Hilir, Kuala Lumpur	RM 5,000,000(RM 1212.71 per sq. ft.)	4+2	5	4	Condominium | Penthouse 	 Built-up : 4,123 sq. ft. 	 Partly furnished
Dua Residency, KLCC	KLCC, Kuala Lumpur	RM 2,880,000(RM 822.39 per sq. ft.)	4+1	5	2	Condominium 	 Built-up : 3,502 sq. ft. 	 Partly furnished
