	Property Name	Property Location	Price	Property Info	Bedroom	Bathroom	Car Porch
0	Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	Serviced Residence | Duplex  •  Built-up : 646 sq. ft.	2	2	1
1	Suria Stonor, KLCC	KLCC, Kuala Lumpur	RM 4,250,000(RM 781.11 per sq. ft.)	Serviced Residence | Duplex  •  Built-up : 5,441 sq. ft.  •  Partly furnished	5	6	2
2	Sastra U-Thant, Taman U-Thant, Ampang Hilir	Ampang Hilir, Kuala Lumpur	RM 5,000,000(RM 1212.71 per sq. ft.)	Condominium | Penthouse  •  Built-up : 4,123 sq. ft.  •  Partly furnished	4+2	5	4
3	None	City Centre, Kuala Lumpur	From RM 507,800 - RM 836,800	Serviced Residence  •  Built-up : From 660 - 922 sq. ft.	None	None	None
4	Dua Residency, KLCC	KLCC, Kuala Lumpur	RM 2,880,000(RM 822.39 per sq. ft.)	Condominium  •  Built-up : 3,502 sq. ft.  •  Partly furnished	4+1	5	2
5	South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 950,000(RM 795.64 per sq. ft.)	Condominium  •  Built-up : 1,194 sq. ft.  •  Partly furnished	3	2	2
6	None	Bangsar, Kuala Lumpur	From RM 714,250 - RM 1,532,000	Serviced Residence  •  Built-up : From 947 - 2,002 sq. ft.	None	None	None
7	South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,280,000(RM 832.79 per sq. ft.)	Condominium  •  Built-up : 1,537 sq. ft.  •  Partly furnished	3+1	3	3
8	Medan Damansara, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 1,790,000(RM 716 per sq. ft.)	2-sty Terrace/Link House | Intermediate  •  Built-up : 2,500 sq. ft.  •  Partly furnished	3+1	3	1
9	Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	Serviced Residence | Duplex  •  Built-up : 646 sq. ft.	2	2	1
10	None	Cheras, Kuala Lumpur	From RM 525,000	Serviced Residence  •  Built-up : From 581 - 915 sq. ft.	None	None	None
11	Andalucia, Pantai Hillpark, Pantai	Pantai, Kuala Lumpur	RM 900,000(RM 666.67 per sq. ft.)	Condominium  •  Built-up : 1,350 sq. ft.	2	2	2
12	Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	Serviced Residence | Duplex  •  Built-up : 646 sq. ft.	2	2	1
13	Taman Melawati, Ampang Greeneries Landscape, Ampang	Ampang, Kuala Lumpur	RM 979,000(RM 387.72 per sq. ft.)	2-sty Terrace/Link House | Intermediate  •  Built-up : 2,525 sq. ft.  •  Unfurnished	4+1	4	2
14	None	Wangsa Maju, Kuala Lumpur	From RM 417,800 - RM 1,030,800	Serviced Residence  •  Built-up : From 538 - 1,070 sq. ft.	None	None	None
15	The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas	Dutamas, Kuala Lumpur	RM 1,383,100(RM 937.06 per sq. ft.)	Serviced Residence | Corner lot  •  Built-up : 1,476 sq. ft.  •  Partly furnished	4	3	3
16	Anggun Residences, KLCC	KLCC, Kuala Lumpur	RM 1,200,000(RM 953.14 per sq. ft.)	Condominium | Corner lot  •  Built-up : 1,259 sq. ft.  •  Partly furnished	3	3	2
17	La Grande Kiara, Bukit Kiara, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 950,000(RM 480.04 per sq. ft.)	Condominium | End lot  •  Built-up : 1,979 sq. ft.  •  Partly furnished	3+1	3	2
18	St Regis, KL Sentral	KL Sentral, Kuala Lumpur	RM 8,100,000(RM 1904.54 per sq. ft.)	Serviced Residence  •  Built-up : 4,253 sq. ft.  •  Partly furnished	3+1	4	2
19	Country Heights Damansara	Country Heights Damansara, Kuala Lumpur	RM 3,500,000(RM 350 per sq. ft.)	Bungalow Land  •  Land area : 10,000 sq. ft.	None	None	None
20	The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas	Dutamas, Kuala Lumpur	RM 1,229,400(RM 951.55 per sq. ft.)	Serviced Residence  •  Built-up : 1,292 sq. ft.  •  Partly furnished	3	3	2
21	The Troika, KLCC	KLCC, Kuala Lumpur	RM 2,000,000(RM 833.33 per sq. ft.)	Condominium | Corner lot  •  Built-up : 2,400 sq. ft.  •  Partly furnished	3+1	5	2
22	Covillea, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 745,000(RM 576.18 per sq. ft.)	Condominium  •  Built-up : 1,293 sq. ft.	3+1	3	2
23	V Residence 2 @ Sunway Velocity, Cheras	Cheras, Kuala Lumpur	RM 1,200,000(RM 1411.76 per sq. ft.)	Serviced Residence  •  Built-up : 850 sq. ft.	2	2	1
24	Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	Serviced Residence | Duplex  •  Built-up : 646 sq. ft.	2	2	1
25	Suria Stonor, KLCC	KLCC, Kuala Lumpur	RM 4,250,000(RM 781.11 per sq. ft.)	Serviced Residence | Duplex  •  Built-up : 5,441 sq. ft.  •  Partly furnished	5	6	2
26	Sastra U-Thant, Taman U-Thant, Ampang Hilir	Ampang Hilir, Kuala Lumpur	RM 5,000,000(RM 1212.71 per sq. ft.)	Condominium | Penthouse  •  Built-up : 4,123 sq. ft.  •  Partly furnished	4+2	5	4
27	None	City Centre, Kuala Lumpur	From RM 507,800 - RM 836,800	Serviced Residence  •  Built-up : From 660 - 922 sq. ft.	None	None	None
28	Dua Residency, KLCC	KLCC, Kuala Lumpur	RM 2,880,000(RM 822.39 per sq. ft.)	Condominium  •  Built-up : 3,502 sq. ft.  •  Partly furnished	4+1	5	2
29	South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 950,000(RM 795.64 per sq. ft.)	Condominium  •  Built-up : 1,194 sq. ft.  •  Partly furnished	3	2	2
30	None	Bangsar, Kuala Lumpur	From RM 714,250 - RM 1,532,000	Serviced Residence  •  Built-up : From 947 - 2,002 sq. ft.	None	None	None
31	South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,280,000(RM 832.79 per sq. ft.)	Condominium  •  Built-up : 1,537 sq. ft.  •  Partly furnished	3+1	3	3
32	Medan Damansara, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 1,790,000(RM 716 per sq. ft.)	2-sty Terrace/Link House | Intermediate  •  Built-up : 2,500 sq. ft.  •  Partly furnished	3+1	3	1
33	Altris Residences @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 365,000(RM 565.02 per sq. ft.)	Serviced Residence | Duplex  •  Built-up : 646 sq. ft.	2	2	1
34	None	Cheras, Kuala Lumpur	From RM 525,000	Serviced Residence  •  Built-up : From 581 - 915 sq. ft.	None	None	None
35	Andalucia, Pantai Hillpark, Pantai	Pantai, Kuala Lumpur	RM 900,000(RM 666.67 per sq. ft.)	Condominium  •  Built-up : 1,350 sq. ft.	2	2	2
