	Property Name	Property Location	Price	Property Info
0	The Valley Residences	Jalan Taman Setiawangsa, Taman Setiawangsa, Kuala Lumpur	From RM 508,000	New Project
1	[Best Invest] Join our bulk deal with special rebate!!	Bandar Sunway, Selangor	RM 500,000MUST SEE	Non Landed3 beds2 bathRM 583/sqft857 sqft
2	Desa ParkCity (The Westside I)	Jalan Residen Utama, Desa ParkCity, Kuala Lumpur	RM 1,450,000MUST SEE	Non Landed2 + 2 beds2 bath2 carparkRM 782/sqft1,852 sqft
3	Taman Kintaman	Klang, Selangor	RM 340,000MUST SEE	Landed4 beds2 bathRM 412/sqft825 sqft
4	Bandar Mahkota Cheras	Persiaran Mahkota Cheras, Cheras, Selangor	RM 510,299MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
5	Kota Warisan	Jalan Warisan Mulia 4/1, Kota Warisan, Sepang, Selangor	RM 451,277MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
6	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 438,900MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7	Taman Sungai Besi Indah	Jalan Sb Indah 3/7, Seri Kembangan, Selangor	RM 438,200MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
8	Cyberjaya	Persiaran Apec, Persiaran Multimedia, Cyberjaya, Selangor	RM 438,900MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
9	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 423,100MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
10	Bandar Baru Ampang	Ampang, Selangor	RM 412,688MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
11	Taman Cahaya, Ampang	Jalan Cahaya, Ampang, Selangor	RM 542,668MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
12	Kota Warisan	Jalan Warisan Mulia 4/1, Kota Warisan, Sepang, Selangor	RM 437,100MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
13	Cyberia Crescent 1	Persiaran Fauna, Cyberjaya, Selangor	RM 437,000MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
14	Cyberjaya	Persiaran Apec, Persiaran Multimedia, Cyberjaya, Selangor	RM 452,200MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
15	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 413,000MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
16	Bandar Bukit Raja	Jalan Rodat, Bandar Bukit Raja, Selangor	RM 461,288MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
17	Kampung Baru Seri Kembangan	Jalan SK, Seri Kembangan, Selangor	RM 402,188MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
18	Bandar Baru Ampang	Ampang, Selangor	RM 441,288MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
19	Kota Warisan	Jalan Warisan Mulia 4/1, Kota Warisan, Sepang, Selangor	RM 431,872MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
20	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 391,200MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
21	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 391,200MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
22	Jalan Sungai Besi 5/1	Seri Kembangan, Selangor	RM 450,888MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
23	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 403,800MUST SEE	Landed4 + 1 beds4 bath3 carparkRM -- sqft
24	Bandar Bukit Puchong	Jalan Bukit Puchong, Puchong, Selangor	RM 468,100MUST SEE	Landed4 + 1 beds4 bath3 carparkRM -- sqft
25	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 410,277MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
26	Seksyen 1, Petaling Jaya	Petaling Jaya, Selangor	RM 481,299MUST SEE	Landed4 + 1 beds4 bath4 carparkRM -- sqft
27	Taman Dengkil Jaya	Jalan Kenanga 20, Taman Dengkil Jaya, Dengkil, Selangor	RM 467,129MUST SEE	Landed4 + 1 beds4 bath4 carparkRM -- sqft
28	Seksyen 14, Petaling Jaya	Petaling Jaya, Selangor	RM 461,294MUST SEE	Landed4 + 1 beds4 bath4 carparkRM -- sqft
29	Taman Dahlia, Sepang	Jalan Dahlia Pewira, Sepang, Selangor	RM 412,992MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
30	Kota Warisan	Jalan Warisan Mulia 4/1, Kota Warisan, Sepang, Selangor	RM 418,999MUST SEE	Landed4 + 1 beds4 bath3 carparkRM -- sqft
31	Kota Warisan	Jalan Warisan Mulia 4/1, Kota Warisan, Sepang, Selangor	RM 391,712MUST SEE	Landed4 + 1 beds4 bath2 carparkRM -- sqft
32	Cyberia Crescent 1	Persiaran Fauna, Cyberjaya, Selangor	RM 491,000MUST SEE	Landed5 + 1 beds4 bath2 carparkRM 196/sqft2,499 sqft
33	Lucky Garden (Jalan Bangsar)	Jalan Chenderai, Jalan Tempinis, Bangsar, Kuala Lumpur	RM 2,300,000MUST SEE	Landed3 beds2 bath3 carparkRM 504/sqft4,560 sqft
